generation,id,novelty,score,species,parent1,parent2
134,65964,12.41200172115843,0.7576174716753794,3,65467,65558
135,66451,9.781278962279137,0.7615448174608379,3,65964,66039
136,66595,4.299300312836609,0.7601849735569086,9,65563,65563
137,67232,4.862702847801798,0.7594892315694947,7,66781,66783
138,67615,7.304908634839053,0.7612006802511782,9,67095,67056
139,68054,7.65926644453379,0.7620192905242228,7,67704,62797
140,68965,10.70904276946106,0.7619965839354155,3,68481,68490
141,69449,9.60985398800688,0.75957621688484,3,56358,68962
142,69915,7.554797928434324,0.7610709867078719,3,69438,69441
143,70027,9.355567801222813,0.7619416375120417,7,69533,69588
144,70720,8.3597357503949,0.762399494713251,9,69826,69826
145,71334,8.204223338895494,0.7603920788727901,7,70485,70579
146,71479,7.3799539810242285,0.7618034351293528,7,71300,71300
147,72172,8.230115297815214,0.7623366913888286,9,68531,71574
148,72633,12.265026273437487,0.7619632253988108,9,72305,72245
149,73179,13.585400528430542,0.7616301812487061,9,72637,72711
150,73775,10.477819533350536,0.7624040647270046,7,56358,73298
151,73969,11.005259850123792,0.7602465306620392,9,73745,73715
152,74736,16.00659512011411,0.7607334119143062,8,74268,74043
153,75343,9.908081046279733,0.7623466382369016,3,74865,74354
154,75847,9.535605013597626,0.761869042215864,3,75320,74995
155,76243,10.144131351947054,0.7626891383350808,3,75826,75836
156,76715,10.679778660873101,0.7627185520197816,9,75950,76200
157,77329,6.974730868824467,0.7624337033321748,3,76810,76873
158,77405,7.806607325719449,0.761533052218408,9,77209,77236
159,78037,7.663293708969006,0.7600529190892499,9,77430,77435
160,78497,7.688227451842776,0.7608677401723901,11,78045,78085
161,78853,9.324829643598271,0.7615910619735667,10,78425,78828
162,79711,13.701001842519839,0.7627037745387644,7,76909,79205
163,79950,12.463271245919175,0.7603966143613409,9,79505,79423
164,80698,7.550163132480198,0.7595329058607377,7,80204,80194
165,81144,13.251778759182514,0.7573893887448074,7,80631,80709
166,81361,9.718991104597222,0.75881374990294,9,80953,79922
167,81924,10.706416101650372,0.7625529946232029,9,81371,81371
168,82491,10.32398602681693,0.760882402827635,8,82064,82078
169,82761,13.12722037858211,0.7586018041099293,10,82325,82714
170,83345,8.099997843601095,0.762410271769704,9,82848,79949
171,84168,13.55900437254888,0.7607256368328554,3,74354,83708
172,84626,13.264240028310256,0.7622720838260868,3,84170,84186
173,85088,7.0091053273823345,0.7613909061759099,7,84561,84586
174,85448,7.871615390747662,0.7623801085722385,11,84993,84992
175,85969,6.456083006732194,0.7620128642244101,11,85476,85467
176,86442,11.652950123664857,0.7543142582226066,11,85975,85936
177,86921,12.770268919490421,0.760318414240074,11,86442,81953
178,87256,11.722373518667078,0.760786304814775,10,86653,86286
179,87916,14.550249481555683,0.7618279306809872,9,87439,87439
180,88359,9.431026852853817,0.7621734776352264,11,81953,87847
181,88702,10.969368424834459,0.7614350080390602,12,88086,88219
182,89401,16.452550564220406,0.7583967023457375,7,88919,89006
